"Price","Address","","Tax"
"9900.0","491 Jay Street Rochester Rochester NY 14611","","229.5"
"24900.0","67 Avenue D null Rochester Rochester NY 14621","","198.91666666666666"
"45000.0","98-100 Cleon Street Rochester Rochester NY 14621","","292.25"
"47900.0","40 Peckham Street Rochester Rochester NY 14621","","193.5"
"64900.0","84 Cameron Street Rochester Rochester NY 14606","","208.58333333333334"
"74900.0","137 Cameron Street Rochester Rochester NY 14606","","196.16666666666666"
"75000.0","167-169 Frost Avenue Rochester Rochester NY 14608","","99.25"
"82000.0","100-102 Parkway null Rochester Rochester NY 14608","","210.58333333333334"
"84900.0","98 Avenue A null Rochester Rochester NY 14621","","250.25"
"84900.0","660 Norton Street Rochester Rochester NY 14621","","241.0"
"85000.0","374 Genesee Street Rochester Rochester NY 14611","","216.08333333333334"
"87500.0","130 Weyl St null Rochester Rochester NY 14621","","254.16666666666666"
"89900.0","290 Avenue D Avenue Rochester Rochester NY 14621","","209.83333333333334"
"89900.0","1361 Dewey Avenue Rochester Rochester NY 14613","","254.5"
"89900.0","7-9 Short Street Rochester Rochester NY 14609","","231.16666666666666"
"90000.0","1322 Main Street Rochester Rochester NY 14609","","269.8333333333333"
"90000.0","330 Lexington Avenue Rochester Rochester NY 14613","","297.25"
"95000.0","359 Magnolia Street Rochester Rochester NY 14611","","164.25"
"98000.0","1959 Clifford Avenue Rochester Rochester NY 14609","","268.8333333333333"
"99000.0","1119 N Goodman Street Rochester Rochester NY 14609","","235.58333333333334"
"99000.0","104 Ambrose Street Rochester Rochester NY 14608","","212.33333333333334"
"99900.0","21-23 Finch Street Rochester Rochester NY 14613","","216.5"
"115000.0","17 Cottage Street Rochester Rochester NY 14608","","264.6666666666667"
"119900.0","331 Ravine Avenue Rochester Rochester NY 14613","","254.58333333333334"
