"Address","Price","Square Footage","Beds/Baths","Open House","Status","Days On Market","Contruction Material","Year Build","Flooring","Heating","Listing Terms","Monthly Tax Value"
"331 Ravine Avenue Rochester Rochester NY 14613","119900.0","2292.0","4.0/2.0","","Active","11","VinylSiding","1890.0","Hardwood,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","254.58333333333334"
"17 Cottage Street Rochester Rochester NY 14608","115000.0","1669.0","4.0/2.0","","Active","10","VinylSiding","1900.0","Carpet,Hardwood,Varies","Gas,HotWater","Cash,Conventional,Fha","264.6666666666667"
"21-23 Finch Street Rochester Rochester NY 14613","99900.0","1898.0","4.0/2.0","","Active","85","AluminumSiding,Frame,SteelSiding","1910.0","Hardwood,Varies,Vinyl","Gas,Baseboard,ForcedAir","Cash,Conventional","216.5"
"1119 N Goodman Street Rochester Rochester NY 14609","99000.0","1385.0","4.0/2.0","","Active","6","AluminumSiding,SteelSiding,VinylSiding","1920.0","Hardwood,Varies","Gas,ForcedAir","Cash,Conventional","235.58333333333334"
"104 Ambrose Street Rochester Rochester NY 14608","99000.0","1680.0","4.0/2.0","2024-07-07 | 2024-07-07T14:00:00.000-04:00 | 2024-07-07T12:00:00.000-04:00","Active","27","AluminumSiding,SteelSiding,CopperPlumbing","1890.0","Carpet,Laminate,Varies","Baseboard,Electric,HotWater","Cash,Conventional,Fha","212.33333333333334"
"6 8th Street Rochester Rochester NY 14609","98000.0","2114.0","5.0/2.0","","Active","96","WoodSiding","1900.0","Hardwood,Laminate,Varies","Gas,ForcedAir","Cash,Conventional","215.66666666666666"
"1959 Clifford Avenue Rochester Rochester NY 14609","98000.0","1938.0","4.0/2.0","","Active","59","VinylSiding","1923.0","Carpet,Hardwood,Varies,Vinyl","Gas,HotWater","Cash,Conventional,VaLoan","268.8333333333333"
"15 Admiral Park null Rochester Rochester NY 14613","95900.0","1542.0","4.0/2.0","","Active","9","WoodSiding","1920.0","Hardwood,Resilient,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","193.83333333333334"
"359 Magnolia Street Rochester Rochester NY 14611","95000.0","1956.0","6.0/2.0","","Active","8","AluminumSiding,SteelSiding,VinylSiding,CopperPlumbing,PexPlumbing","1880.0","Hardwood,LuxuryVinyl,Varies","Gas,ForcedAir","Cash,Conventional","164.25"
"1322 Main Street Rochester Rochester NY 14609","90000.0","2229.0","6.0/2.0","","Active","24","CompositeSiding,CopperPlumbing","1920.0","Other,SeeRemarks","Gas,ForcedAir","Cash,Conventional","269.8333333333333"
"330 Lexington Avenue Rochester Rochester NY 14613","90000.0","1611.0","5.0/2.0","","Active","68","VinylSiding","1920.0","Hardwood,Laminate,Varies","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","297.25"
"290 Avenue D Avenue Rochester Rochester NY 14621","89900.0","1878.0","6.0/2.0","","Active","2","AluminumSiding,SteelSiding,VinylSiding","1910.0","Hardwood,LuxuryVinyl,Varies","Gas,ForcedAir","Cash,Conventional,Fha","209.83333333333334"
"1361 Dewey Avenue Rochester Rochester NY 14613","89900.0","1768.0","4.0/2.0","2024-07-20 | 2024-07-20T13:00:00.000-04:00 | 2024-07-20T12:00:00.000-04:00","Active","11","VinylSiding","1910.0","Carpet,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional","254.5"
"59-61 Arch Street Rochester Rochester NY 14609","89900.0","1608.0","5.0/2.0","","Active","13","WoodSiding,CopperPlumbing,PexPlumbing","1930.0","Carpet,Hardwood,Laminate,Varies","Gas,ForcedAir","Cash,Conventional","205.08333333333334"
"7-9 Short Street Rochester Rochester NY 14609","89900.0","2240.0","6.0/2.0","","Active","31","CompositeSiding,PexPlumbing","1920.0","Carpet,Varies","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","231.16666666666666"
"130 Weyl St null Rochester Rochester NY 14621","87500.0","2016.0","4.0/2.0","","Active","13","VinylSiding","1900.0","Laminate,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional","254.16666666666666"
"374 Genesee Street Rochester Rochester NY 14611","85000.0","2350.0","4.0/2.0","","Active","27","AluminumSiding,SteelSiding,CopperPlumbing","1920.0","Carpet,Hardwood,Varies","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","216.08333333333334"
"244 Fernwood Avenue Rochester Rochester NY 14621","85000.0","1524.0","4.0/2.0","","Active","108","WoodSiding","1920.0","Carpet,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","229.41666666666666"
"98 Avenue A null Rochester Rochester NY 14621","84900.0","2136.0","6.0/2.0","2024-07-19 | 2024-07-19T12:00:00.000-04:00 | 2024-07-19T11:00:00.000-04:00","Active","6","VinylSiding","1920.0","Hardwood,Tile,Varies","Gas,ForcedAir","Cash,Conventional","250.25"
"660 Norton Street Rochester Rochester NY 14621","84900.0","2210.0","4.0/2.0","","Active","29","AluminumSiding,CompositeSiding,SteelSiding","1920.0","Hardwood,Laminate,Varies","Gas,ForcedAir","Cash,Conventional,Fha","241.0"
"100-102 Parkway null Rochester Rochester NY 14608","82000.0","2130.0","5.0/2.0","","Active","20","VinylSiding,CopperPlumbing","1900.0","Hardwood,Laminate,Varies","Gas,ForcedAir","Cash,Conventional","210.58333333333334"
"167-169 Frost Avenue Rochester Rochester NY 14608","75000.0","2034.0","4.0/2.0","","Active","34","VinylSiding","1890.0","Other,SeeRemarks","Gas,ForcedAir","Cash,Conventional","99.25"
"137 Cameron Street Rochester Rochester NY 14606","74900.0","1732.0","4.0/2.0","","Active","9","VinylSiding","1890.0","Carpet,Laminate,Varies","Gas,ForcedAir","Cash,Conventional","196.16666666666666"
"154 Spencer Street Rochester Rochester NY 14608","65000.0","2012.0","4.0/2.0","","ActiveUnderContract","109","VinylSiding","1900.0","Carpet,Hardwood,Tile,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional","208.16666666666666"
"84 Cameron Street Rochester Rochester NY 14606","64900.0","1988.0","6.0/2.0","","Active","33","CompositeSiding,CopperPlumbing","1910.0","Carpet,Hardwood,Varies,Vinyl","Gas,ForcedAir","Cash,RehabFinancing","208.58333333333334"
"116 Bernard Street Rochester Rochester NY 14621","51900.0","1593.0","4.0/2.0","","Active","92","WoodSiding,CopperPlumbing","1900.0","Hardwood,Laminate,Varies,Vinyl","Gas,HotWater,Steam","Cash,Conventional,Fha,RehabFinancing","191.16666666666666"
"40 Peckham Street Rochester Rochester NY 14621","47900.0","1794.0","5.0/2.0","","Active","19","VinylSiding","1911.0","Carpet,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional,PrivateFinancingAvailable,RehabFinancing","193.5"
"98-100 Cleon Street Rochester Rochester NY 14621","45000.0","1488.0","4.0/2.0","","Active","16","VinylSiding","1920.0","Hardwood,Laminate,Varies","Gas,ForcedAir","Cash,Conventional","292.25"
"67 Avenue D null Rochester Rochester NY 14621","24900.0","2220.0","5.0/2.0","","Active","3","CompositeSiding","1890.0","Hardwood,LuxuryVinyl,Varies","Gas,ForcedAir","Cash,Conventional,PrivateFinancingAvailable","198.91666666666666"
"491 Jay Street Rochester Rochester NY 14611","9900.0","2108.0","6.0/2.0","","Active","49","Other,SeeRemarks,VinylSiding","1930.0","Other,SeeRemarks","Gas,Other,SeeRemarks,ForcedAir","Cash","229.5"
